FID,OM,YR,MO,DY,DATE,TIME,TZ,ST,STF,STN,MAG,INJ,FAT,LOSS,CLOSS,SLAT,SLON,ELAT,ELON,LEN,WID,Shape_Leng
26005,939,1998,4,3,4/3/1998,14:35:00,3,TN,47,4,2,3,0,0.5,0,36.4,-86.93,36.45,-86.8,5.6,200,0.139284
26017,922,1998,4,8,4/8/1998,18:00:00,3,TN,47,9,0,0,0,0,0,35.17,-87.35,35.17,-87.35,0.5,200,0
26020,924,1998,4,16,4/16/1998,6:10:00,3,TN,47,13,3,5,0,0.5,0,36,-87.33,36,-87.3,2,1300,0.03
26021,925,1998,4,16,4/16/1998,9:18:00,3,TN,47,14,2,0,0,0.01,0,36.57,-87.15,36.57,-87.15,1.1,200,0
26022,926,1998,4,16,4/16/1998,9:20:00,3,TN,47,15,3,0,0,0.4,0,36.57,-87.13,36.57,-87.02,7.2,400,0.11
26023,927,1998,4,16,4/16/1998,11:05:00,3,TN,47,16,0,0,0,0,0,35.88,-87.82,35.87,-87.8,0.5,100,0.022361
26024,929,1998,4,16,4/16/1998,14:15:00,3,TN,47,18,0,0,0,0,0,36.13,-87,36.15,-87,1,400,0.02
26025,935,1998,4,16,4/16/1998,15:50:00,3,TN,47,22,5,36,3,13,0,35.22,-88.02,35.55,-86.9,69.4,1760,1.167605
26034,502,1998,6,14,6/14/1998,19:53:00,3,TN,47,30,1,0,0,0.01,0,36.23,-88.08,36.23,-88.07,1,100,0.01
26042,787,1999,1,17,1/17/1999,19:06:00,3,TN,47,13,1,0,0,0.03,0,36.48,-87.88,36.48,-87.88,0.1,100,0
26043,786,1999,1,17,1/17/1999,19:28:00,3,TN,47,12,1,0,0,0.02,0,36.55,-87.43,36.57,-87.43,0.6,250,0.02
26044,788,1999,1,17,1/17/1999,20:00:00,3,TN,47,14,1,0,0,0.05,0,36.55,-86.97,36.58,-86.95,0.5,50,0.036056
26045,790,1999,1,22,1/22/1999,3:20:00,3,TN,47,16,3,5,1,1,0,36.05,-88.17,36.23,-88,15,220,0.247588
26046,791,1999,1,22,1/22/1999,4:15:00,3,TN,47,17,3,5,0,72.7,0,36.53,-87.35,36.58,-87.3,4.3,880,0.070711
26047,789,1999,1,22,1/22/1999,4:43:00,3,TN,47,15,2,1,0,0.5,0,36.1,-87.7,36.12,-87.63,4,220,0.072801
26052,1032,1999,5,5,5/5/1999,17:45:00,3,TN,47,19,0,0,0,0,0,36.4,-87.65,36.4,-87.65,0.5,100,0
26053,1033,1999,5,5,5/5/1999,17:58:00,3,TN,47,20,0,0,0,0,0,36.47,-87.43,36.47,-87.43,0.5,100,0
26054,1031,1999,5,5,5/5/1999,19:20:00,3,TN,47,18,4,0,3,0.29,0,35.57,-87.92,35.63,-87.83,6,580,0.108167
